Trade No,Trade Date,Underlying,Tenure,Expiration Date,Days to Expiry,Expired?,Option Type,Direction,Strike Price,Entry Price,Entry Price/bbl,Closing Price,Closing Price/bbl,Close Date, Settlement Price ,Commision,Payoff at Settlement,Intial Premium,Max loss,Unrealized P&L,Final P&L
1,21/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Put,Sell,64.00,142.0, 1.42 , 51.00 , 0.51 ,15/08/2025, 61.91 ,2.04,88.96,85.9,314.1,,35.92
2,21/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Put,Buy,60.00,52.0, 0.52 , 1.00 , 0.01 ,15/08/2025, 61.91 ,2.04,-53.04,,,,
3,21/07/2025,MCL,CLV25,17/09/2025, -   , Expired ,Put,Sell,64.00,277.0, 2.77 , 108.00 , 1.08 ,10/09/2025, 63.18 ,2.04,166.96,133.9,266.1,,35.92
4,21/07/2025,MCL,CLV25,17/09/2025, -   , Expired ,Put,Buy,60.00,139.0, 1.39 , 10.00 , 0.10 ,10/09/2025, 63.18 ,2.04,-131.04,,,,
5,28/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Call,Sell,69.00,110.0, 1.10 ,,,, 61.91 ,1.02,108.98,53.0,247.0,,52.96
6,28/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Call,Buy,72.00,55.0, 0.55 ,,,, 61.91 ,1.02,-56.02,,,,
7,29/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Call,Sell,70.00,105.0, 1.05 ,,,, 61.91 ,1.02,103.98,43.0,207.0,,42.96
8,29/07/2025,MCL,CLU25,15/08/2025, -   , Expired ,Call,Buy,72.50,60.0, 0.60 ,,,, 61.91 ,1.02,-61.02,,,,
9,06/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Put,Sell,64.00,400.0, 4.00 , 175.00 , 1.75 ,24/09/2025, 63.06 ,2.04,222.96,198.9,301.1,,59.92
10,06/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Put,Buy,59.00,197.0, 1.97 , 36.00 , 0.36 ,24/09/2025, 63.06 ,2.04,-163.04,,,,
11,13/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Put,Sell,62.00,326.0, 3.26 ,,,, 63.06 ,1.02,324.98,122.0,178.0,121.96,
12,13/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Put,Buy,59.00,202.0, 2.02 ,,,, 63.06 ,1.02,-203.02,,,,
13,20/08/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Sell,64.50,142.0, 1.42 , 24.00 , 0.24 ,11/09/2025, 63.18 ,2.04,115.96,53.9,146.1,,36.92
14,20/08/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Buy,66.50,84.0, 0.84 , 7.00 , 0.07 ,11/09/2025, 63.18 ,2.04,-79.04,,,,
15,22/08/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Sell,64.50,160.0, 1.60 , 21.00 , 0.21 ,12/09/2025, 63.18 ,2.04,136.96,50.9,99.1,,37.92
16,22/08/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Buy,66.00,105.0, 1.05 , 8.00 , 0.08 ,12/09/2025, 63.18 ,2.04,-99.04,,,,
17,22/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Call,Sell,66.00,182.0, 1.82 ,,,, 63.06 ,1.02,180.98,54.0,146.0,53.96,
18,22/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Call,Buy,68.00,126.0, 1.26 ,,,, 63.06 ,1.02,-127.02,,,,
19,03/09/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Sell,67.00,102.0, 1.02 , 6.00 , 0.06 ,12/09/2025, 63.18 ,2.04,93.96,44.9,155.1,,41.92
