trade_no,trade_date,underlying,expiration_date,days_to_expiry,option_type,direction,strike_price,contracts,entry_price,commission,status,entry_timestamp,current_price,unrealized_pnl,final_pnl,close_date,close_price,notes
1,21/07/2025,MCL,15/08/2025, -   ,Put,Sell,64.0,85.9,142.0,2.04,Closed,,,88.96,35.92,15/08/2025,51.0,CLU25; 1.42; 0.51; 61.91
2,21/07/2025,MCL,15/08/2025, -   ,Put,Buy,60.0,,52.0,2.04,Closed,,,-53.04,,15/08/2025,1.0,CLU25; 0.52; 0.01; 61.91
3,21/07/2025,MCL,17/09/2025, -   ,Put,Sell,64.0,133.9,277.0,2.04,Closed,,,166.96,35.92,10/09/2025,108.0,CLV25; 2.77; 1.08; 63.18
4,21/07/2025,MCL,17/09/2025, -   ,Put,Buy,60.0,,139.0,2.04,Closed,,,-131.04,,10/09/2025,10.0,CLV25; 1.39; 0.1; 63.18
5,28/07/2025,MCL,15/08/2025, -   ,Call,Sell,69.0,53.0,110.0,1.02,Closed,,,108.98,52.96,,,CLU25; 1.1; nan; 61.91
6,28/07/2025,MCL,15/08/2025, -   ,Call,Buy,72.0,,55.0,1.02,Closed,,,-56.02,,,,CLU25; 0.55; nan; 61.91
7,29/07/2025,MCL,15/08/2025, -   ,Call,Sell,70.0,43.0,105.0,1.02,Closed,,,103.98,42.96,,,CLU25; 1.05; nan; 61.91
8,29/07/2025,MCL,15/08/2025, -   ,Call,Buy,72.5,,60.0,1.02,Closed,,,-61.02,,,,CLU25; 0.6; nan; 61.91
9,06/08/2025,MCL,16/10/2025, 22 ,Put,Sell,64.0,201.0,400.0,1.02,  ,,,371.98,173.96,,,CLX25; 4.0; nan; 63.73
10,06/08/2025,MCL,16/10/2025, 22 ,Put,Buy,59.0,,197.0,1.02,  ,,,-198.02,,,,CLX25; 1.97; nan; 63.73
11,13/08/2025,MCL,16/10/2025, 22 ,Put,Sell,62.0,122.0,326.0,1.02,  ,,,324.98,121.96,,,CLX25; 3.26; nan; 63.73
12,13/08/2025,MCL,16/10/2025, 22 ,Put,Buy,59.0,,202.0,1.02,  ,,,-203.02,,,,CLX25; 2.02; nan; 63.73
13,20/08/2025,MCL,17/09/2025, -   ,Call,Sell,64.5,53.9,142.0,2.04,Closed,,,115.96,36.92,11/09/2025,24.0,CLV25; 1.42; 0.24; 63.18
14,20/08/2025,MCL,17/09/2025, -   ,Call,Buy,66.5,,84.0,2.04,Closed,,,-79.04,,11/09/2025,7.0,CLV25; 0.84; 0.07; 63.18
15,22/08/2025,MCL,17/09/2025, -   ,Call,Sell,64.5,50.9,160.0,2.04,Closed,,,136.96,37.92,12/09/2025,21.0,CLV25; 1.6; 0.21; 63.18
16,22/08/2025,MCL,17/09/2025, -   ,Call,Buy,66.0,,105.0,2.04,Closed,,,-99.04,,12/09/2025,8.0,CLV25; 1.05; 0.08; 63.18
17,22/08/2025,MCL,16/10/2025, 22 ,Call,Sell,66.0,54.0,182.0,1.02,  ,,,180.98,53.96,,,CLX25; 1.82; nan; 63.73
18,22/08/2025,MCL,16/10/2025, 22 ,Call,Buy,68.0,,126.0,1.02,  ,,,-127.02,,,,CLX25; 1.26; nan; 63.73
19,03/09/2025,MCL,17/09/2025, -   ,Call,Sell,67.0,44.9,102.0,2.04,Closed,,,93.96,41.92,12/09/2025,6.0,CLV25; 1.02; 0.06; 63.18
20,03/09/2025,MCL,17/09/2025, -   ,Call,Buy,69.0,,53.0,2.04,Closed,,,-52.04,,12/09/2025,3.0,CLV25; 0.53; 0.03; 63.18
21,05/09/2025,MCL,16/10/2025, 22 ,Put,Sell,61.0,136.0,256.0,1.02,nan,,,254.98,135.96,,,CLX25; 2.56; nan; 63.73
22,05/09/2025,MCL,16/10/2025, 22 ,Put,Buy,57.0,,118.0,1.02,nan,,,-119.02,,,,CLX25; 1.18; nan; 63.73
23,08/09/2025,MCL,17/11/2025, 54 ,Put,Sell,62.0,200.0,339.0,1.02,nan,,,337.98,199.96,,,CLZ25; 3.39; nan; 63.23
24,08/09/2025,MCL,17/11/2025, 54 ,Put,Buy,56.5,,137.0,1.02,nan,,,-138.02,,,,CLZ25; 1.37; nan; 63.23
25,22/09/2025,MCL,16/10/2025, 22 ,Put,Sell,60.75,53.0,98.0,1.02,nan,,,96.98,52.96,,,CLX25; 0.98; nan; 63.73
26,22/09/2025,MCL,16/10/2025, 22 ,Put,Buy,58.25,,43.0,1.02,nan,,,-44.02,,,,CLX25; 0.43; nan; 63.73
27,22/09/2025,MCL,17/11/2025, 54 ,Put,Sell,60.75,63.0,222.0,1.02,nan,,,220.98,62.96,,,CLZ25; 2.22; nan; 63.23
28,22/09/2025,MCL,17/11/2025, 54 ,Put,Buy,59.0,,157.0,1.02,nan,,,-158.02,,,,CLZ25; 1.57; nan; 63.23
29,22/09/2025,MCL,17/11/2025, 54 ,Put,Sell,60.75,63.0,222.0,1.02,nan,,,220.98,62.96,,,CLZ25; 2.22; nan; 63.23
30,22/09/2025,MCL,17/11/2025, 54 ,Put,Buy,59.0,,157.0,1.02,nan,,,-158.02,,,,CLZ25; 1.57; nan; 63.23
31,23/08/2025,MCL,16/10/2025, 22 ,Call,Sell,64.5,69.0,135.0,1.02,  ,,,133.98,68.96,,,CLX25; 1.35; nan; 63.73
32,24/08/2025,MCL,16/10/2025, 22 ,Call,Buy,67.0,,64.0,1.02,  ,,,-65.02,,,,CLX25; 0.64; nan; 63.73
